Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.8055358410220014,0.6572327044025157,0.5588235294117647,0.6040462427745664
Random Forest,0.7814052519517388,0.61,0.4893048128342246,0.543026706231454
XGBoost,0.7849538679914834,0.6059701492537314,0.5427807486631016,0.5726375176304654
